Students (? Values),Year: As at 1 July,Student: Year level,Student: Year level group,School: ID,Student: Ethnic Group,Student_age,School: Name,School: Sector,School: Type,School: Authority,School: Gender,School: Affiliation Type,School: Affiliation,School: Māori Medium Peak Body Affiliation,Region: Education Region,Region: Regional Council,Region: Territorial Authority,Region: MOE Local office,Te Mahau Rohe,Takiwa,EQI Band,EQI Group
16,2025,Year 1,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 1,Primary (Year 1-8),-1,Pacific,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 1,Primary (Year 1-8),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
4,2025,Year 1,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
2,2025,Year 2,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 3,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
5,2025,Year 3,Primary (Year 1-8),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
1,2025,Year 3,Primary (Year 1-8),-1,MELAA,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
3,2025,Year 3,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
6,2025,Year 4,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
7,2025,Year 4,Primary (Year 1-8),-1,European\Pākehā,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
11,2025,Year 5,Primary (Year 1-8),-1,Māori,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
2,2025,Year 5,Primary (Year 1-8),-1,Pacific,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
2,2025,Year 5,Primary (Year 1-8),-1,Asian,,Charter Schools,Not Applicable,Charter Schools,Charter Schools,Not Applicable,No Affiliation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,Not Applicable,Unassigned,Unassigned
